author,title,abstract
Kezdi Ors Sebestyen,Datapack creation in Minecraft," Minecraft is a sandbox game with a significant player base. It has enjoyed undisputed popularity since its establishment more than 10 years ago. Minecraft is now one of the most played games, joining the ranks of iconic games together with the likes of Tetris. It has managed to continuously reinvent itself, keeping generations engaged to this day. Minecraft is offered on all major platforms in multiple variations to suit the needs of everyone. It can even be considered a viable educational tool, and in recognition of this, an Educational Edition is also provided.

Given the game's capabilities, one of the major classes of players is the creators. Creators, for the entertainment of their fellow players and their own, take the keyboard to enrich the community with their unique creations. One way to achieve this is by creating so-called datapacks. Datapacks offer a native way of adding new mechanics, providing modifications ranging from quality of life improvements through new challenges all the way to complete overhauls of the base mechanics of the game.

This thesis offers an overview with practical examples of datapacks, providing a starting point for the reader to begin their journey in datapacks. Creating a datapack challenges the mental faculties as much as classical programming and creativity as much as arts. This thesis describes the evolution of datapacks, offering some context for them and explaining the related game mechanics.

The technical assistance section of this thesis provides some background technical knowledge required to better understand the following sections of the thesis. Following this, a walkthrough is provided describing the creation of a datapack in a practical manner from scratch. This part also demonstrates original contributions, implementations, and related techniques.

Recursion is presented via exponentiation by squaring. Additionally, this thesis presents Random Number Generation and Object-Oriented Programming, such as handling of variables."
Elekes Rebeka,AlgoRhythmics testing module," The topic of my thesis is the further development of the AlgoRhythmics environment, with a module that allows testing the information obtained within the environment. Since the AlgoRhythmics environment is also used to develop computational thinking, it is not only able to test the information about algorithms, but also to test the development of computational thinking, thanks to this module.

In previous research, when measuring students’ performance, separate testing applications were used. To do this, students who participated in the research had to navigate from the AlgoRhythmics site to another site, register there and then complete a test consisting of different questions.

To improve the user experience and to help teachers simplify testing within the environment and make it easier to conduct research, the idea of an embeddable module was born. I felt it was important to create a module that was easy to use and that would facilitate the work of teachers using the environment.

At the same time, an important criterion was to create a competitive module with all the functionality that was available in testing interfaces used so far. With the completed module, I was also able to create a research in which I tested the development of computational thinking through metaphors. This research was the first to be done with this module within the environment framework."
Csaszar Akos,Testing JavaScript frameworks in a web environment," Nowadays, users visit more than 100 different websites each day. Ninety-eight percent of these websites are developed using JavaScript, making it indispensable in the world of web development. This thesis aims to test multiple JavaScript Frameworks in the web environment. These frameworks play an important role for web developers, whether they want to create a simple or more advanced website; it will make the development process a lot easier. In this research, we provide a comprehensive overview of JavaScript Frameworks. Next, we examine the three most used ones to highlight the advantages and limitations of each of them. After analyzing the biggest software development portals, the three most used frameworks today are Angular, React, and Vue. The comparison first was done on a theoretical basis, followed by a more practical one by creating a website that used all three technologies. The conclusion is that each framework has its strengths, and the usage should depend on the context and the purpose of the website."
Tasnadi Istvan Norbert,Application of the A* algorithm in video games," Using computers is now an integral part of our lives, and we use them for many things. Whether it's to do our work at work or at home as a recreational tool, such as browsing the web, listening to music, watching a film, or even playing games. Video games have gained immense popularity over the last decade. People like to sit down and play a game in their free time, either with friends or against a computer. The computer is expected to be as natural and smart as possible, making the game more enjoyable. As it can also provide a challenge to the user. This is why many game development companies are trying to put more advanced and smarter artificial intelligence into their games.

The aim of my thesis is to create an artificial intelligence for a 2D platformer game that can entertain and challenge the user with its complex behavior. By complex behavior, we mean the following: if the opponent has not noticed the player or if the player has fled, the opponent should patrol. If the opponent has noticed the player, then the opponent should chase the player or attack the player if they are close enough.

To increase the intelligence of the AI, the A\* path search algorithm will play a major role. This will optimally determine the shortest route between the player and the opponent. The opponent will chase the user-controlled character along that route.

To implement the game, we used the Unity game engine. We also loaded the A\* Pathfinding Project plugin to apply the A\* pathfinding algorithm."
Gabor Anita Renata,The problem of graph coloring in a genetic approach," The main topic of my dissertation is the use of genetic algorithms to solve a classical problem. As we know, almost every living thing in the world around us can be traced to Darwin's theory of evolution. A similar computer program can be designed for this process, resulting in the production of different ""individuals"" as a result of genetic processes.

There are situations in life where it is important to get the best results not only accurately but also quickly. In these cases, it can be very important which algorithm you choose to solve the problem. The focus of my case study is the problem of graph coloring, which is still a relatively unknown field in the programming world.

For my research, I am looking for an answer to the question of how worthwhile it is to use genetic algorithms to obtain a better solution than a given one. In the meantime, I have listed several aspects for my proof. For instance, what is the difference between a classical solution and a genetic solution for a given task? Or, what happens if the initial population is less than the number of generations we will get as a result, or vice versa? Or, what if we increase or decrease the number of colors? What effect will this have on the effectiveness of a good coloring? The number of edges or nodes?

I ran the survey on a self-designed software for 100 randomly generated graphs. The tests were repeated, and I calculated averages to make the results even more valid. Finally, I compared and evaluated the results. By the end of my research, based on the results, we will draw conclusions as to why it is suitable to use a genetic algorithm. We can also delve into the problem of graph coloring in more depth."
Somai Norbert-Attila,Football Lobby: Mobile app for organizing football matches," The aim of my thesis is to make it easier and faster to organize and search for soccer matches using an Android application. It has happened to many of us that we would have liked to go out to play football in the afternoon, after school, university, or work, but it takes a lot of time to ask all your friends if they can and do want to join. Often it is only after a lot of wasted time that it turns out that you end up failing to gather the right number of players, so unfortunately the game is missed.

A solution to these problems is provided by the project, which implements a user-friendly and efficient Android application. This allows us to create a football match waiting room after registration, with a specified location and time where and when we want to play. You can add friends to this, search for other players and invite them to join and play with you.

If you don’t want to create your own game, you can search for the right one for you and join. Furthermore, the implemented software provides an opportunity to chat with other users, privately or at room level. After the game is over, we can rate the participating players according to different criteria. These ratings help us find the right players for our team.

Everyone prefers to play with someone who has very good ratings and a lot of positive feedback from previous games, even if we don’t know that person, rather than someone with bad ratings. The app also notifies users of any major events, guaranteeing that it won’t go unnoticed if someone sends you a message, a friend request, wants to join one of our lobbies, or we simply need to rate our teammates after a game is over."
Kovács Andrea,Mouse dynamics-based bot detection," Nowadays, bot detection is gaining more and more attention due to the damage caused by bots, besides the fact that they perform automated tasks. Although the presence of bots is being examined from more and more aspects to prevent attacks, it is a complex process as state-of-the-art bots are already aimed at mimicking human behavior. In my research, I examine the human-like behavior of bots in terms of different generated mouse movements. I generated synthetic data sets based on different parameterized versions of Bézier curves and also by a generative adversarial network (TimeGAN) specialized in time series. I performed feature extraction on raw data sets, which resulted in a total of 29 features. I had access to the Sapimouse data set, which contains mouse dynamics data for 120 users. Using this data set and the synthetic data sets, I measured the performance of different detectors. The best performing detector, which proved to be the most successful in distinguishing between generated and real human mouse movements, was the Local Outlier Factor (LOF), achieving values above 0.81 for 1 mouse movement and above 0.96 for 10 mouse movements in terms of Area Under the ROC Curve (AUC) metric. The research part was followed by the development of a software that illustrates single mouse movement-based bot detection."
Demeny Zsofia,Anomaly detection for password typing," These days, the security and maintenance of IT systems are very important. To access these systems' functionalities, authentication is required. Authentication makes it possible for users with the appropriate rights to access sensitive data. Authentication can be performed in various ways, one of which is biometrics - the measurement of characteristics related to life processes. Authentication systems can be divided into two categories: 1) access-based authentication and 2) continuous authentication.

In my dissertation, I studied keystroke rhythm in the case of password typing, which is an authentication method based on behavioral biometrics. Typing rhythm refers to the speed at which a person writes or types. This characteristic is suitable for identifying and authenticating a person. I divided the research into two major parts:

1. In the first part, I examined which is the best performing anomaly detector in the world of typing rhythms. Here, I used the PyOD package and studied the detectors in it.
2. The second half of the research was closely related to the first. I studied how I could compare the performance and illustrate the results of the measurements made. This is how the website component was born, which illustrates the measurements, summarizes, and highlights the important information. It has a teaching, didactic character.

All software created as part of this research is publicly available on GitHub."
Kecskes Kerestely David Attila,"Reconstructer, the centralized platform for craftsman and their materials"," The aim of my bachelor thesis is to build an application that offers an online platform for:

1. Reselling old, not used building materials
2. A place for people who need a craftsman for their construction projects
3. A place for craftsmen to showcase their works

The application will also serve as a viewing tool for craftsmen to visualize their bookings and works that need to be done. I aim to address issues that arise in our lives when it comes to building or repairing things around us. By paying attention to our surroundings, we can notice a lot of buildings and constructions happening near us, from our homes to the streets we walk on every day, to offices and universities.

When dealing with such situations, we often require equipment, construction materials, and people who work in construction. In my thesis, I am looking for solutions to two major problems:

1. The unused items that are lying around in our houses without any purpose. Shops that sold those items cannot take them back, so they could be reused by other people.
2. The lack of people in construction, specifically craftsmen. Their contacts are hard to find, and there is currently no centralized platform where you can easily locate them."
Sipos Erno,Water surface analysis based on satellite images on Android," The topic of my thesis is the presentation, development, and implementation of the algorithm I wrote. The main objective of this algorithm is to study satellite images received from NASA and to highlight variations in the ratio of these images. I ran the algorithm under the Android operating system, which has the advantage of fast and efficient processing of large images, using a RenderScript. The images represent climate change within a given area over a certain time interval. The software was implemented in several ways, improving its efficiency step by step. The two major stages of the process are presented in this thesis: running the algorithm on CPU and GPU, considering their advantages and disadvantages. The goal is to process images pixel by pixel and perform segmentation using the information stored in them, as mentioned above. Throughout the ongoing and detailed research, several stages of the algorithm will be described, tracking all stages of development from the initial form of the algorithm up to the final version. I will divide the algorithm and software into two stages and examine them: the existing software and algorithms, as opposed to the algorithm I have written."
Dragos Norbert Janos,"""Mouse in the maze"": specific graph theory aspects"," The subject of my thesis is ""Mouse in the Maze"": specific graph theory aspects. These aspects being illustrated in an open source desktop application. In education, we can name various methods of teaching a subject, be it in theory, in diagrams or even practice. The scope of my application is to open up a new possibility to teach and learn graph theory. The aspects of graph theory get showcased in a game desert application, a game called CheeseChaser. By using the concept of gamification, we can illustrate these theories in an engaging way.

By the time of writing my thesis, the application holds functionalities like changing some of the options in the options menu, exiting the application or even starting a game where the user controls the mouse character. The mouse has to reach the goal, the cheese, to win the game, navigating through the maze populated by hostile cats. The number of cats depends on the selected map, and their pathfinding illustrates the graph theory."
Szilveszter David,Parameter identification in mathematical modelling using differential equations," Mathematical modeling is essentially a way of describing how our world works, using a precise, concise, objective language. The complexity of these models stems from the fact that not only do individuals within a population differ, but also the external influences on them vary. They can be used for a number of purposes, such as scientific understanding, quantifying the impact of different changes on a system, and can also help to make tactical and strategic decisions.

Models can be classified according to different aspects. Depending on the number of populations, they can be single or multi-population models. They can also be classified as classical or structural models.

To choose the mathematical method, it is important to determine whether the model is continuous or discrete. The modeling process can be divided into four different stages: construction, analysis, testing, and application.

Problems can arise when moving from one stage to the next, and it is always necessary to go back to the previous step. In the event of a subsequent change at any stage, the testing phase must be repeated.

Mathematical modeling came to the fore in population research between 1900 and 1940, mainly in the context of predator-prey relationships and competition theories. The models still used today are those of A.J. Lotka, V. Volterra, G.F. Gauss, and A.J. Nicholson.

In my thesis, I will use three methods to estimate the unknown parameters of the specified model: the integral method, the log-integral method, where I will use the Lotka-Volterra predation model as a leading tool for three species; and finally, I will try to improve the results by particle swarm optimization. I will compare the results with solutions from an advanced software package incorporating artificial intelligence."
Kovacs Norbert,Officers on the chessboard," Nowadays we meet a lot of logic games in each of the corners of the online space, which we use with pleasure, irrespective of sex and age. Although young people are using these games the most, middle-aged and old people also play them with pleasure. For example: chess, mill, backgammon, and so on. Many want to develop competitively, but most persons play logic games for pleasure. The main purpose of logic games is the development of intellectual abilities and the useful and valuable use of free time. My goal in this work is to create software that includes a logic game. The basis of this logic game is a chess table. The essence of the game is that the player must place as many selected chess pieces as possible on the table without having them hit one another, following the rules of each figure's movements. The size of the chess table and the figures used on it can be chosen by the user. Using this software corresponds to educational purposes as well, with a professor mode that presents the correct solutions in informatics defined through the backtracking mode. To create this application, I used the programming language C++, and the user interface I realized using the Qt frame system application. This logic game offers pleasant time spent for anyone who knows the rules of figure hitting. Continuously, for students studying informatics at our university, it is an application for visualizing the backtracking mode."
Fulop Zoltan,Movie watching habits tracker," The topic of my thesis was to create a website that allows users to track and rate movies and series they watch, and to generate various reports from this data. In addition, the user is given the opportunity to receive further recommendations based on the movies and series they have viewed. To build the user interface, I used the open-source library React, which is written in JavaScript. React applications are built from separate components. With this approach, I was able to develop more complex interactive applications, benefiting from the state management provided by the library. To manage users, I used the authorization service provided by Firebase. In addition, I handled other data using the Firestore system provided by Firebase. At the heart of this system is a NoSQL database, which provides cloud access and data management. The data for movies and series is provided by HTTP requests to a RESTful service. This service is none other than TheTVDB. In the next part of my thesis, I will discuss in detail how I implemented this system, providing a detailed explanation of all its functionalities."
Timar Mate Adam,Mobile application for shopping canvas paintings," Online shopping is flourishing today, as on one hand a wide range of online platforms, applications and web shops offer users a convenient way to do their shopping. On the other hand, the coronavirus has forced people to do their purchases online. However, experience shows that the online shopping trend has continued after the epidemic situation subsided. The focus of my thesis is the online sale and purchase of products, using a mobile application I have developed. This application provides an excellent solution for the online purchase of wall pictures for home decoration purposes. It satisfies several aspects of the most important needs of the customers.

The app is easy to use, but at the same time it offers users several options that make it easier for them to select and buy products. After a quick registration, prospective customers can browse through the products. If they find a product they like, they can request additional information as well as add it to their shopping cart.

The final list of products from the cart and their price can be viewed, and users can finalize the order. After filling in the address, they can expect to receive the product that will be delivered to them shortly. Registered users can give feedback on products by rating them or adding reviews. This information is visible to everyone, so that customers can help each other in choosing the right product.

The web shop admin can upload new products, attaching photos for illustrative purposes. But even the admin cannot delete or edit the customers’ reviews. This can only be done by the user who added the review to the certain product, thus ensuring that the reviews remain authentic and objective. The admin’s main task is to view all orders placed by customers, including the details required for delivery.

My project’s target group consists of users who intend to purchase home furnishing products online. My interface meets the needs of both buyers and distributors and provides users with a convenient and reliable way to shop online. In my thesis, I will also discuss the .NET and Android frameworks, the technologies associated with these frameworks, and a detailed description of my project from a programming perspective."
Szakacs David,Web end-to-end testing system," The subject of my thesis is the creation of an application that makes it possible to test web pages with ease using a graphical interface. The objective is to make it easy for users to test the correct behavior of their websites without requiring them to learn new testing libraries.

The application enables users to implement end-to-end web tests in just a few minutes. I managed to implement a product that makes the web testing process 90% faster and 70% cheaper than the most used products on the market.

The application is built based on a Software-as-a-Service model. The product is not the graphical interface itself, but the automated testing system behind it. The sole purpose of the GUI (Graphical User Interface) is to create a better user experience and make the application available and usable for a larger audience.

The graphical interface is a desktop application implemented using Electron, a technology that embeds a website inside a desktop software. This can be installed and used on Linux, Windows, and MacOS. By doing this, we can have a product with high cross-platform compatibility and the ability to test local websites at the same time.

The application communicates with a server, which is responsible for project and user data management. This way, users can have the same exact experience from any device they access the application from. The server-side application is written in TypeScript using the Express.js framework inside Node.js. The client-side application was created using Electron, which embeds a Next.js website written in TypeScript into itself.

Apart from the above-mentioned technologies, both applications use third-party libraries and tools. In my thesis, I go into detail about the problems in the IT sector that I'm trying to fix with my application. I also talk about the direction that the application needs to be developed towards so it can become an industry standard with time."
Mihaly Bence,Image segmentation with the help of U-net," Nowadays, thanks to the development of machine learning, machine learning is more frequently used to analyze images. The U-Net is such a convolutional neural network that was primarily developed for accurate image segmentation of biological images. The success of U-Net is demonstrated by its widespread use, ranging from CT and MRI scans to vehicle detection. In my thesis, I seek answers to the question: ""Which parameters could achieve the most accurate image segmentation on a given dataset?""

Accurate image segmentation might help in all sorts of fields and could potentially save lives, for instance, on a CT scan, if it can detect and identify an abnormality of a tissue. During the research, we save models with different kinds of parameters to compare and evaluate the differences between these models. The examined architecture with the best parameter settings results in at least 97% classification accuracy and is able to detect parts of the images. Thus, the model provides some really good results.

Since U-Net is a new approach to image segmentation, it may be worthwhile to try several parameter settings that could lead to an even more accurate image segmentation architecture."
Bedo Laszlo,GyMate application: useful mate in the gym," The topic of my dissertation is the creation of an android application that serves as a companion in the classroom and helps students perform exercises. In my present dissertation, I tried to find an answer to the question of what shortcomings characterize applications with similar themes, and which aspects require development. To achieve my goal, I conducted a questionnaire survey among people who regularly go to the gym or use similar apps, focusing on the question of what features users are missing or suggesting from these apps. In addition, I have reviewed several applications myself and tried to assess which features are usually missing from these.

The results of my survey and the answers given in the questionnaire agree that the main issues with most of these applications were the lack of personalization, the lack of personal training plans, and the need for monitoring and logging. Based on these results, I tried to correct these shortcomings in my dissertation. I designed my app to help users with these things, making it transparent, easy to use, and customizable."
Berszan Robert,Similarity metrics in image recognition," In my thesis, I take a closer look at distance-based similarity metrics used in image recognition by comparing them on different image classification tasks. Nowadays, there is a significant interest towards the research of image recognition techniques because they contribute to the development of modern autonomous systems. There are numerous challenges with a wide range of difficulties facing this technology, but thanks to high computational power, modern computers can outperform human recognition in terms of speed and accuracy in certain situations.

Recent innovations rely frequently on image recognition methods, which allowed for the development of technologies such as Advanced Driver Assistance Systems (ADAS), biometric authentication, and image-based medical diagnostic tools. By taking a picture's pixel values, we can perform mathematical computations and even measure similarity between two instances by using different kinds of formulas.

In order to quantify the similarity, first, we need to measure a distance. The two images will be similar if the distance between them is small enough. Taking this into account, when working with a labeled dataset, we can classify a new image just by assigning the label of the most similar image to it. With a high accuracy, this can lead to image recognition.

In order to achieve this, there is a need for the development of fast, efficient, and reliable algorithms. In this work, I am comparing different distance metrics for the computation of similarities. Alongside the traditional distance measures, such as the Euclidean, the Manhattan, and the Cosine measures, I experiment with the usage of dynamic time warping (DTW) algorithm on images.

In all the cases, I will be using a nearest neighbor classifier, which will handle the classification process of the images based on the calculated similarities. The experiments will be carried out on two image datasets: one containing hand-written digits and one with human facial expressions. By using a 10-fold cross validation testing protocol, I will be measuring the run times, the mean, and the standard deviation of recognition accuracies.

I will make conclusions based on the results and highlight the best performing distance metrics, but I will also demonstrate the hidden potential of using DTW on image recognition tasks. Together with my advisor, we also created a scientific poster about this thesis, which we took to the 13th Dubrovnik Conference on Cognitive Science (DUCOG 2022). At the conference, I presented the concept of emotion recognition based on images of facial expressions to the participants, who gave positive feedback regarding the research and the usability of the technology."
